region	det	energy_keV	half_width_keV	rate_ct_s_keV	rate_error_ct_s_keV	model_ct_s_keV	residual_sigma	lhb_ct_s_keV	halo_ct_s_keV	cxb_ct_s_keV	cx_ct_s_keV
inner	pn	0.5393779873847961	0.0025439858436584473	5.691213623958864	0.24718533287720026	6.31443697228334	-2.521279644994502	0.5678675454500873	0.15675658022903746	0.09420166858821885	5.495611178015994
inner	pn	0.5444639921188354	0.0025420188903808594	6.228897560114312	0.2582956137352158	6.482693592438205	-0.9825797219462845	0.5863632814644096	0.16116892167350944	0.0935629879771892	5.641598401323088
inner	pn	0.5495460033416748	0.002539992332458496	5.804495216379979	0.24989086450612435	6.600436773802284	-3.18515668428046	0.5997909185607452	0.16513574074240708	0.09300243539910615	5.74250767910002
inner	pn	0.5546239912509918	0.0025379955768585205	5.917037764946977	0.25193855596194403	6.657788252943547	-2.9402029600759554	0.6068856308161258	0.16851116014268863	0.09252175305264905	5.7898697089320965
inner	pn	0.5596984922885895	0.0025365054607391357	6.457343232808976	0.2630561082699364	6.649794380237272	-0.7315973337171503	0.6068748237098546	0.17125722065433707	0.09212268589272593	5.7795396499803475
inner	pn	0.5647695064544678	0.00253450870513916	6.466126341070462	0.26366506057925054	6.574555564706228	-0.4112384985616065	0.5992771366778783	0.17338373030063278	0.091803805495081	5.710090892232628
inner	pn	0.5698365271091461	0.0025325119495391846	6.221237586027441	0.2586581731123523	6.434147354231363	-0.823131802262598	0.5840142093314855	0.17496910246013098	0.09155827554000746	5.5836057668997165
inner	pn	0.5748995244503021	0.0025304853916168213	6.837800150976297	0.27035068045998073	6.235025667924065	2.2296022411582546	0.5614784127393269	0.17616796835894882	0.09138135643755523	5.405997930388234
inner	pn	0.5799590051174164	0.0025289952754974365	6.06708754018659	0.25530465298079424	5.986774200512684	0.31457844084003833	0.5323994077618355	0.17718318209786055	0.091261617873434	5.185929992779546
inner	pn	0.5850149989128113	0.002526998519897461	5.865156754799615	0.25114244812992975	5.701993150429938	0.6496854895882175	0.49790611498897247	0.17825845527472486	0.09119034302577414	4.934638237140451
inner	pn	0.5900675058364868	0.002525508403778076	5.878068439402024	0.2512759551362838	5.3947317144068725	1.9235295503423935	0.45933445553356334	0.17964077067348871	0.09115573561149137	4.664600752588319
inner	pn	0.595116525888443	0.0025235116481781006	5.486453774326972	0.24359787465811894	5.079328998493212	1.6712985546575303	0.4181647093973159	0.18155488880475606	0.09114626442579313	4.388463135865342
inner	pn	0.6001615226268768	0.0025214850902557373	5.41095397109987	0.24182282855503132	4.769381484545179	2.653068324393902	0.37592400422183114	0.18417689472514875	0.09115355598647837	4.118127029611728
inner	pn	0.6052030026912689	0.0025199949741363525	4.666833042125886	0.22542737662772563	4.47629401484219	0.8452346389070375	0.3340413071638379	0.1876000225660601	0.09116757362076292	3.863485111491524
inner	pn	0.6102409958839417	0.002517998218536377	4.2958988820336055	0.2169924061922718	4.208478250603173	0.4028741510565622	0.2937688383600716	0.19181490986267768	0.09117713915356719	3.631717363226856
inner	pn	0.615275502204895	0.002516508102416992	3.6176924521682454	0.19948233454285763	3.9714022943722678	-1.7731386742319772	0.2561513208245076	0.19672593930324125	0.09118028639480505	3.4273447478497157
inner	pn	0.6203070282936096	0.0025150179862976074	3.502473941075418	0.19638019123735947	3.766632874562891	-1.345140422886089	0.2219288830846239	0.20212267542818207	0.09116868249982879	3.2514126335502613
inner	pn	0.6253345012664795	0.0025124549865722656	3.9208956806824657	0.2071351558780224	3.5889243512710243	1.6026797962144703	0.19137021092405862	0.20750211252867623	0.09104333948740723	3.099008688330871
inner	pn	0.63035848736763	0.002511531114578247	3.477513590967469	0.19583648255992522	3.441707642031418	0.18283594797049343	0.16509513686579264	0.21295483163001344	0.09099294120109519	2.972664732334522
inner	pn	0.6353794932365417	0.002509474754333496	2.966036982921243	0.18156632618951032	3.3149563532307886	-1.9217185126352128	0.14282362415576133	0.21792125915753865	0.09092383081424668	2.863287639103251
inner	pn	0.6403964757919312	0.002507507801055908	3.325073323489132	0.19202661741060081	3.2012243703252166	0.6449572191291355	0.12431047993831461	0.22204759721904396	0.09082983688434243	2.7640364562835193
inner	pn	0.6454104781150818	0.0025064945220947266	2.9322316989503436	0.180604196220252	3.093165851473724	-0.8910875599319766	0.10917934839350198	0.22505691785496293	0.09071431665124198	2.668215268574009
inner	pn	0.6504215002059937	0.0025045275688171387	3.12103914247559	0.18627438657665743	2.9839055689920113	0.7361912499287403	0.09696375737559693	0.226743768776975	0.090575665801708	2.5696223770377276
inner	pn	0.6554285287857056	0.0025025010108947754	2.6968901865217743	0.17326727334866743	2.8679303900408364	-0.9871466215946981	0.08717337076424217	0.22701429284809055	0.09041708700560994	2.4633256394228966
inner	pn	0.6604325175285339	0.0025014877319335938	2.7201255212871525	0.17362186563963686	2.7415644299996287	-0.12348046505256448	0.07931820605083965	0.22588208914427643	0.09023832421538966	2.3461258105891223
inner	pn	0.6654334962368011	0.002499490976333618	2.5072138586868333	0.16747894314350226	2.602726618056164	-0.5702971225910584	0.07294312170363397	0.22346235150217642	0.09003992911445792	2.216281215735898
inner	pn	0.670430988073349	0.0024980008602142334	2.3200595136065942	0.16063914139113122	2.4514938949744103	-0.8181964882879562	0.06765881340945856	0.21996911337145075	0.08982532179406089	2.0740406463994376
inner	pn	0.6754254996776581	0.0024965107440948486	2.168151587124121	0.1567000389853347	2.2893979141090357	-0.7737479056802413	0.06313927368135373	0.21566285103891347	0.08959253729552873	1.9210032520932414
inner	pn	0.6804165244102478	0.002494513988494873	1.8474165134604872	0.14497082068536005	2.119504556009759	-1.8768469493581956	0.05913630734251184	0.21085103635743513	0.08934640180831684	1.7601708105014897
