distance_arcmin	distance_km	surface_brightness	error	coverage	smooth	reflected_smooth
5.625	460802.8125	0.002199828828540698	0.0003716506749300582	0.8909090909090909	0.001778887852843483	0.0012362094853738384
5.875	481282.9375	0.0013570829862149367	0.00029092406236458325	0.8771929824561403	0.001650913822430993	0.0013579590303009932
6.125	501763.0625	0.0016426781672386663	0.0003344208422996323	0.8545454545454545	0.0014938101693830741	0.0015809464815973414
6.375	522243.1875	0.0014929964480145056	0.00032727051903484635	0.8245614035087719	0.0014840603086535443	0.0014674372155330587
6.625	542723.3125	0.0014839988836307428	0.0003414534914172222	0.8214285714285714	0.0014915812344602575	0.0012387247637953057
6.875	563203.4375	0.0013825203186779206	0.0003503160396049274	0.7678571428571429	0.0015089794685747425	0.0012657435756510955
7.125	583683.5625	0.0012329575865368642	0.00033704518302671874	0.7719298245614035	0.001358514590997399	0.0013461926729121528
7.375	604163.6875	0.0015243535377621148	0.00038999749508400726	0.7454545454545455	0.001238006405110421	0.0012438006640098688
7.625	624643.8125	0.0007302053820584813	0.00028450392605513055	0.7368421052631579	0.0012857163355527658	0.0010453369291161898
7.875	645123.9375	0.0011998232773217663	0.00036134989720715965	0.7321428571428571	0.001335460279867334	0.001017355290871463
8.125	665604.0625	0.0014058662330736834	0.0003750535514072751	0.7368421052631579	0.0014047710416652704	0.0009720493823084011
8.375	686084.1875	0.0015992486412456982	0.0004032398998229568	0.7142857142857143	0.0013158161667268442	0.0010022351025221845
8.625	706564.3125	0.0010249530504521235	0.00034129172404197977	0.6964285714285714	0.0012333433427072185	0.00104697087270796
8.875	727044.4375	0.0009959868085798287	0.00033608620205701227	0.6964285714285714	0.0012594533435058663	0.0011386645073631278
9.125	747524.5625	0.0018262282689484872	0.00045466498926677654	0.6607142857142857	0.0011824803213212997	0.00120628510076445
9.375	768004.6875	0.0007659746783702881	0.000332457021114051	0.6785714285714286	0.0011944564215631325	0.0010974822776607291
9.625	788484.8125	0.0013489374518938617	0.0004524753468951144	0.625	0.0011236265867751068	0.000978545818644817
9.875	808964.9375	0.001149888897670157	0.00044047751987609074	0.6206896551724138	0.00106830214324174	0.0009205068791379606
10.125	829445.0625	0.0012386751948344848	0.0004859928693857787	0.6	0.0011512558565568345	0.0009682272204956473
10.375	849925.1875	0.00029448318066209456	0.0003168107924701278	0.5964912280701754	0.001072033235960455	0.0009050735344682075
10.625	870405.3125	0.002302542349889269	0.0006948742343909234	0.5818181818181818	0.0010072473748179945	0.000949077016388755
10.875	890885.4375	0.0011488965416281381	0.0005382937874918441	0.5964912280701754	0.001000876093557418	0.0009360211190213283
