mjd_utc	longitude_deg	radius_au
60983.207532609	-175.425884799	1.372534500
60983.249199276	-175.493689740	1.372767993
60983.290865943	-175.561470956	1.373003136
60983.332532609	-175.629228297	1.373239930
60983.374199276	-175.696961613	1.373478372
60983.415865943	-175.764670754	1.373718462
60983.457532609	-175.832355572	1.373960199
60983.499199276	-175.900015917	1.374203581
60983.540865943	-175.967651641	1.374448609
60983.582532609	-176.035262595	1.374695282
60983.624199276	-176.102848632	1.374943597
60983.665865943	-176.170409604	1.375193555
60983.707532609	-176.237945365	1.375445154
60983.749199276	-176.305455766	1.375698393
60983.790865943	-176.372940663	1.375953272
60983.832532609	-176.440399908	1.376209790
60983.874199276	-176.507833356	1.376467945
60983.915865943	-176.575240862	1.376727736
60983.957532609	-176.642622281	1.376989164
60983.999199276	-176.709977467	1.377252225
60984.040865943	-176.777306278	1.377516921
60984.082532609	-176.844608568	1.377783249
60984.124199276	-176.911884195	1.378051208
60984.165865943	-176.979133014	1.378320798
60984.207532609	-177.046354885	1.378592018
60984.249199276	-177.113549663	1.378864867
60984.290865943	-177.180717208	1.379139342
60984.332532609	-177.247857376	1.379415445
60984.374199276	-177.314970028	1.379693173
60984.415865943	-177.382055022	1.379972525
60984.457532609	-177.449112218	1.380253501
60984.499199276	-177.516141476	1.380536100
60984.540865942	-177.583142655	1.380820319
60984.582532609	-177.650115616	1.381106159
60984.624199276	-177.717060222	1.381393618
60984.665865942	-177.783976332	1.381682696
60984.707532609	-177.850863809	1.381973390
60984.749199275	-177.917722515	1.382265701
60984.790865942	-177.984552312	1.382559626
60984.832532608	-178.051353064	1.382855165
60984.874199275	-178.118124634	1.383152317
60984.915865942	-178.184866885	1.383451081
60984.957532608	-178.251579683	1.383751455
60984.999199275	-178.318262891	1.384053438
60985.040865942	-178.384916375	1.384357030
60985.082532608	-178.451539999	1.384662229
60985.124199275	-178.518133630	1.384969034
60985.165865942	-178.584697134	1.385277445
60985.207532608	-178.651230377	1.385587459
60985.249199275	-178.717733227	1.385899075
60985.290865942	-178.784205550	1.386212294
60985.332532608	-178.850647216	1.386527112
60985.374199275	-178.917058091	1.386843530
60985.415865942	-178.983438045	1.387161546
60985.457532608	-179.049786946	1.387481159
60985.499199275	-179.116104665	1.387802368
60985.540865942	-179.182391070	1.388125171
60985.582532608	-179.248646033	1.388449568
60985.624199275	-179.314869424	1.388775557
60985.665865942	-179.381061114	1.389103137
60985.707532608	-179.447220975	1.389432307
60985.749199275	-179.513348878	1.389763066
60985.790865942	-179.579444697	1.390095412
60985.832532608	-179.645508303	1.390429345
60985.874199275	-179.711539571	1.390764862
60985.915865942	-179.777538374	1.391101964
60985.957532608	-179.843504585	1.391440648
60985.999199275	-179.909438081	1.391780913
60986.040865942	-179.975338734	1.392122759
60986.082532608	-180.041206422	1.392466184
60986.124199275	-180.107041019	1.392811186
60986.165865942	-180.172842402	1.393157766
60986.207532608	-180.238610447	1.393505920
60986.249199275	-180.304345032	1.393855648
60986.290865942	-180.370046035	1.394206949
60986.332532608	-180.435713332	1.394559822
60986.374199275	-180.501346804	1.394914265
60986.415865942	-180.566946327	1.395270277
60986.457532608	-180.632511783	1.395627856
60986.499199275	-180.698043050	1.395987003
60986.540865942	-180.763540008	1.396347714
60986.582532608	-180.829002539	1.396709989
60986.624199275	-180.894430523	1.397073827
60986.665865942	-180.959823842	1.397439226
60986.707532608	-181.025182377	1.397806185
60986.749199275	-181.090506012	1.398174703
60986.790865942	-181.155794628	1.398544778
60986.832532608	-181.221048109	1.398916410
60986.874199275	-181.286266339	1.399289596
60986.915865942	-181.351449202	1.399664336
60986.957532608	-181.416596583	1.400040628
60986.999199275	-181.481708366	1.400418471
60987.040865942	-181.546784436	1.400797863
60987.082532608	-181.611824681	1.401178804
60987.124199275	-181.676828986	1.401561292
60987.165865942	-181.741797239	1.401945325
60987.207532608	-181.806729325	1.402330902
60987.249199275	-181.871625134	1.402718022
60987.290865942	-181.936484553	1.403106684
60987.332532608	-182.001307471	1.403496885
60987.374199275	-182.066093776	1.403888626
60987.415865942	-182.130843360	1.404281904
60987.457532608	-182.195556110	1.404676718
60987.499199275	-182.260231919	1.405073067
60987.540865942	-182.324870677	1.405470949
60987.582532608	-182.389472274	1.405870363
60987.624199275	-182.454036604	1.406271308
60987.665865942	-182.518563558	1.406673782
60987.707532608	-182.583053028	1.407077783
60987.749199275	-182.647504909	1.407483312
60987.790865942	-182.711919093	1.407890365
60987.832532608	-182.776295476	1.408298941
60987.874199275	-182.840633950	1.408709040
60987.915865942	-182.904934412	1.409120660
60987.957532608	-182.969196757	1.409533799
60987.999199275	-183.033420880	1.409948457
60988.040865942	-183.097606678	1.410364630
60988.082532608	-183.161754048	1.410782319
60988.124199275	-183.225862888	1.411201522
60988.165865942	-183.289933094	1.411622237
60988.207532608	-183.353964565	1.412044463
60988.249199275	-183.417957200	1.412468199
60988.290865942	-183.481910898	1.412893442
60988.332532608	-183.545825559	1.413320192
60988.374199275	-183.609701082	1.413748447
60988.415865942	-183.673537369	1.414178206
60988.457532608	-183.737334319	1.414609467
60988.499199275	-183.801091835	1.415042229
60988.540865942	-183.864809818	1.415476491
60988.582532608	-183.928488172	1.415912250
60988.624199275	-183.992126798	1.416349506
60988.665865942	-184.055725599	1.416788256
60988.707532608	-184.119284481	1.417228500
60988.749199275	-184.182803346	1.417670236
60988.790865942	-184.246282100	1.418113463
60988.832532608	-184.309720648	1.418558179
60988.874199275	-184.373118895	1.419004382
60988.915865942	-184.436476748	1.419452072
