mjd_utc	longitude_deg	radius_au
60995.624199273	104.163757391	0.967208464
60995.665865940	104.206785506	0.967208966
60995.707532606	104.249813577	0.967209464
60995.749199273	104.292841604	0.967209959
60995.790865940	104.335869587	0.967210449
60995.832532606	104.378897527	0.967210937
60995.874199273	104.421925423	0.967211420
60995.915865940	104.464953276	0.967211900
60995.957532606	104.507981087	0.967212376
60995.999199273	104.551008855	0.967212849
60996.040865940	104.594036582	0.967213317
60996.082532606	104.637064267	0.967213782
60996.124199273	104.680091911	0.967214244
60996.165865940	104.723119515	0.967214702
60996.207532606	104.766147077	0.967215156
60996.249199273	104.809174599	0.967215606
60996.290865940	104.852202082	0.967216053
60996.332532606	104.895229524	0.967216496
60996.374199273	104.938256928	0.967216936
60996.415865940	104.981284292	0.967217371
60996.457532606	105.024311618	0.967217804
60996.499199273	105.067338905	0.967218232
60996.540865940	105.110366155	0.967218657
60996.582532606	105.153393367	0.967219078
60996.624199273	105.196420542	0.967219495
60996.665865940	105.239447679	0.967219909
60996.707532606	105.282474780	0.967220319
60996.749199273	105.325501845	0.967220725
60996.790865940	105.368528873	0.967221128
60996.832532606	105.411555866	0.967221527
60996.874199273	105.454582824	0.967221922
60996.915865940	105.497609746	0.967222314
60996.957532606	105.540636634	0.967222702
60996.999199273	105.583663487	0.967223086
60997.040865940	105.626690306	0.967223467
60997.082532606	105.669717092	0.967223844
60997.124199273	105.712743844	0.967224217
60997.165865940	105.755770563	0.967224587
60997.207532606	105.798797249	0.967224953
60997.249199273	105.841823903	0.967225315
60997.290865940	105.884850525	0.967225674
60997.332532606	105.927877115	0.967226028
60997.374199273	105.970903674	0.967226380
60997.415865940	106.013930201	0.967226727
60997.457532606	106.056956698	0.967227071
60997.499199273	106.099983164	0.967227411
60997.540865940	106.143009600	0.967227748
60997.582532606	106.186036006	0.967228081
60997.624199273	106.229062383	0.967228410
60997.665865940	106.272088731	0.967228735
60997.707532606	106.315115049	0.967229057
60997.749199273	106.358141340	0.967229375
60997.790865940	106.401167605	0.967229689
60997.832532606	106.444193846	0.967229998
60997.874199273	106.487218432	0.967230363
60997.915865940	106.530244597	0.967230665
60997.957532606	106.573270736	0.967230963
60997.999199273	106.616296848	0.967231258
60998.040865940	106.659322934	0.967231548
60998.082532606	106.702348994	0.967231836
60998.124199273	106.745375029	0.967232119
60998.165865940	106.788401039	0.967232399
60998.207532606	106.831427024	0.967232675
60998.249199273	106.874452985	0.967232948
60998.290865940	106.917478921	0.967233217
60998.332532606	106.960504834	0.967233482
60998.374199273	107.003530723	0.967233743
60998.415865940	107.046556589	0.967234001
60998.457532606	107.089582432	0.967234255
60998.499199273	107.132608252	0.967234505
60998.540865940	107.175634051	0.967234752
60998.582532606	107.218659827	0.967234995
60998.624199273	107.261685582	0.967235234
60998.665865940	107.304711316	0.967235470
60998.707532606	107.347737029	0.967235702
60998.749199273	107.390762722	0.967235930
60998.790865940	107.433788394	0.967236155
60998.832532606	107.476814046	0.967236376
60998.874199273	107.519839679	0.967236593
60998.915865940	107.562865293	0.967236807
60998.957532606	107.605890887	0.967237017
60998.999199273	107.648916463	0.967237223
60999.040865940	107.691942021	0.967237425
60999.082532606	107.734967561	0.967237624
60999.124199273	107.777993083	0.967237819
60999.165865940	107.821018588	0.967238011
60999.207532606	107.864044076	0.967238198
60999.249199273	107.907069548	0.967238383
60999.290865940	107.950095003	0.967238563
60999.332532606	107.993120442	0.967238740
60999.374199273	108.036145865	0.967238913
60999.415865939	108.079171274	0.967239082
60999.457532606	108.122196667	0.967239248
60999.499199272	108.165222045	0.967239410
60999.540865939	108.208247410	0.967239568
60999.582532605	108.251272760	0.967239722
60999.624199272	108.294298096	0.967239873
60999.665865939	108.337323419	0.967240021
60999.707532605	108.380348730	0.967240164
60999.749199272	108.423374027	0.967240304
60999.790865939	108.466399312	0.967240440
60999.832532605	108.509424585	0.967240573
60999.874199272	108.552449846	0.967240701
60999.915865939	108.595475096	0.967240826
60999.957532605	108.638500335	0.967240948
60999.999199272	108.681525563	0.967241065
61000.040865939	108.724550780	0.967241180
61000.082532605	108.767575988	0.967241290
61000.124199272	108.810601186	0.967241396
61000.165865939	108.853626374	0.967241499
61000.207532605	108.896651553	0.967241599
61000.249199272	108.939676724	0.967241694
61000.290865939	108.982701886	0.967241786
61000.332532605	109.025727040	0.967241874
61000.374199272	109.068752186	0.967241959
61000.415865939	109.111777324	0.967242040
61000.457532605	109.154802456	0.967242117
61000.499199272	109.197827580	0.967242190
61000.540865939	109.240852698	0.967242260
61000.582532605	109.283877810	0.967242326
61000.624199272	109.326902916	0.967242389
61000.665865939	109.369928017	0.967242447
61000.707532605	109.412953113	0.967242502
61000.749199272	109.455978203	0.967242554
61000.790865939	109.499003289	0.967242601
61000.832532605	109.542028371	0.967242645
61000.874199272	109.585053449	0.967242686
61000.915865939	109.628078523	0.967242722
61000.957532605	109.671103594	0.967242755
61000.999199272	109.714128662	0.967242784
61001.040865939	109.757153728	0.967242810
61001.082532605	109.800178792	0.967242832
61001.124199272	109.843203853	0.967242850
61001.165865939	109.886228913	0.967242864
61001.207532605	109.929253972	0.967242875
61001.249199272	109.972279029	0.967242882
