mjd_utc	longitude_deg	radius_au
60983.624199276	42.092826126	0.991668999
60983.665865943	42.134561074	0.991658499
60983.707532609	42.176296863	0.991648005
60983.749199276	42.218033496	0.991637518
60983.790865943	42.259770974	0.991627038
60983.832532609	42.301509297	0.991616566
60983.874199276	42.343248468	0.991606100
60983.915865943	42.384988488	0.991595641
60983.957532609	42.426729357	0.991585189
60983.999199276	42.468471078	0.991574745
60984.040865943	42.510213652	0.991564307
60984.082532609	42.551957080	0.991553877
60984.124199276	42.593701364	0.991543453
60984.165865943	42.635446505	0.991533037
60984.207532609	42.677192503	0.991522628
60984.249199276	42.718939362	0.991512226
60984.290865943	42.760687082	0.991501831
60984.332532609	42.802435665	0.991491443
60984.374199276	42.844185111	0.991481063
60984.415865943	42.885935423	0.991470689
60984.457532609	42.927686602	0.991460323
60984.499199276	42.969438649	0.991449964
60984.540865942	43.011191566	0.991439612
60984.582532609	43.052945354	0.991429267
60984.624199276	43.094700015	0.991418929
60984.665865942	43.136455549	0.991408599
60984.707532609	43.178211959	0.991398276
60984.749199275	43.219969245	0.991387960
60984.790865942	43.261727410	0.991377651
60984.832532608	43.303486455	0.991367349
60984.874199275	43.345246380	0.991357055
60984.915865942	43.387007188	0.991346768
60984.957532608	43.428768880	0.991336488
60984.999199275	43.470531457	0.991326215
60985.040865942	43.512294921	0.991315950
60985.082532608	43.554059273	0.991305691
60985.124199275	43.595824514	0.991295440
60985.165865942	43.637590647	0.991285197
60985.207532608	43.679357672	0.991274960
60985.249199275	43.721125590	0.991264731
60985.290865942	43.762894404	0.991254509
60985.332532608	43.804664114	0.991244294
60985.374199275	43.846434722	0.991234086
60985.415865942	43.888206229	0.991223886
60985.457532608	43.929978637	0.991213693
60985.499199275	43.971751946	0.991203507
60985.540865942	44.013526159	0.991193328
60985.582532608	44.055301277	0.991183156
60985.624199275	44.097077301	0.991172992
60985.665865942	44.138854232	0.991162835
60985.707532608	44.180632071	0.991152685
60985.749199275	44.222410821	0.991142543
60985.790865942	44.264190482	0.991132407
