mjd_utc	longitude_deg	radius_au
61000.957532605	59.438312996	0.978203194
61000.999199272	59.480341204	0.978194331
61001.040865939	59.522370333	0.978185473
61001.082532605	59.564400384	0.978176621
61001.124199272	59.606431355	0.978167774
61001.165865939	59.648463246	0.978158933
61001.207532605	59.690496057	0.978150098
61001.249199272	59.732529787	0.978141268
61001.290865939	59.774564436	0.978132444
61001.332532605	59.816600003	0.978123626
61001.374199272	59.858636488	0.978114813
61001.415865939	59.900673891	0.978106006
61001.457532605	59.942712211	0.978097205
61001.499199272	59.984751447	0.978088409
61001.540865939	60.026791599	0.978079619
61001.582532605	60.068832667	0.978070834
61001.624199272	60.110874651	0.978062055
61001.665865939	60.152917549	0.978053282
61001.707532605	60.194961362	0.978044515
61001.749199272	60.237006088	0.978035753
61001.790865939	60.279051728	0.978026997
61001.832532605	60.321098281	0.978018246
61001.874199272	60.363145746	0.978009502
61001.915865939	60.405194124	0.978000763
61001.957532605	60.447243413	0.977992029
61001.999199272	60.489293614	0.977983302
61002.040865939	60.531344725	0.977974580
61002.082532605	60.573396747	0.977965864
61002.124199272	60.615449678	0.977957154
61002.165865939	60.657503519	0.977948449
61002.207532605	60.699558269	0.977939750
61002.249199272	60.741613927	0.977931057
61002.290865939	60.783670494	0.977922370
61002.332532605	60.825727968	0.977913688
61002.374199272	60.867786349	0.977905012
61002.415865939	60.909845637	0.977896342
61002.457532605	60.951905831	0.977887678
61002.499199272	60.993966931	0.977879020
61002.540865939	61.036028937	0.977870367
61002.582532605	61.078091847	0.977861720
61002.624199272	61.120155662	0.977853079
61002.665865939	61.162220381	0.977844444
61002.707532605	61.204286003	0.977835814
61002.749199272	61.246352528	0.977827191
61002.790865939	61.288419956	0.977818573
61002.832532605	61.330488287	0.977809961
61002.874199272	61.372557518	0.977801355
61002.915865939	61.414627652	0.977792754
61002.957532605	61.456698686	0.977784160
61002.999199272	61.498770620	0.977775571
61003.040865939	61.540843454	0.977766988
61003.082532605	61.582917188	0.977758411
61003.124199272	61.624991821	0.977749840
61003.165865939	61.667067352	0.977741275
61003.207532605	61.709143781	0.977732716
61003.249199272	61.751221108	0.977724162
61003.290865939	61.793299332	0.977715615
61003.332532605	61.835378453	0.977707073
61003.374199272	61.877458470	0.977698537
61003.415865939	61.919539383	0.977690007
61003.457532605	61.961621191	0.977681483
61003.499199272	62.003703895	0.977672965
61003.540865938	62.045787492	0.977664453
61003.582532605	62.087871984	0.977655946
61003.624199271	62.129957369	0.977647446
61003.665865938	62.172043647	0.977638952
61003.707532604	62.214130817	0.977630463
61003.749199271	62.256218880	0.977621981
61003.790865938	62.298307834	0.977613504
61003.832532604	62.340397680	0.977605033
61003.874199271	62.382488416	0.977596569
61003.915865938	62.424580043	0.977588110
61003.957532604	62.466672559	0.977579657
61003.999199271	62.508765965	0.977571210
61004.040865938	62.550858535	0.977562818
61004.082532604	62.592953691	0.977554383
61004.124199271	62.635049734	0.977545955
61004.165865938	62.677146665	0.977537532
61004.207532604	62.719244484	0.977529116
61004.249199271	62.761343188	0.977520705
61004.290865938	62.803442779	0.977512301
61004.332532604	62.845543256	0.977503902
61004.374199271	62.887644617	0.977495510
61004.415865938	62.929746864	0.977487123
61004.457532604	62.971849994	0.977478743
61004.499199271	63.013954009	0.977470368
61004.540865938	63.056058906	0.977462000
61004.582532604	63.098164687	0.977453637
61004.624199271	63.140271350	0.977445281
61004.665865938	63.182378894	0.977436931
61004.707532604	63.224487321	0.977428587
61004.749199271	63.266596628	0.977420248
61004.790865938	63.308706815	0.977411916
61004.832532604	63.350817883	0.977403590
61004.874199271	63.392929830	0.977395271
61004.915865938	63.435042657	0.977386957
61004.957532604	63.477156362	0.977378649
61004.999199271	63.519270945	0.977370347
61005.040865938	63.561386406	0.977362052
61005.082532604	63.603502744	0.977353762
61005.124199271	63.645619958	0.977345479
61005.165865938	63.687738049	0.977337202
61005.207532604	63.729857016	0.977328931
61005.249199271	63.771976858	0.977320666
61005.290865938	63.814097575	0.977312407
61005.332532604	63.856219166	0.977304154
61005.374199271	63.898341631	0.977295908
61005.415865938	63.940464969	0.977287668
61005.457532604	63.982589181	0.977279433
61005.499199271	64.024714265	0.977271205
61005.540865938	64.066840220	0.977262983
61005.582532604	64.108967047	0.977254768
61005.624199271	64.151094746	0.977246558
61005.665865938	64.193223314	0.977238355
61005.707532604	64.235352753	0.977230158
61005.749199271	64.277483061	0.977221967
61005.790865938	64.319614239	0.977213782
61005.832532604	64.361746285	0.977205604
61005.874199271	64.403879199	0.977197431
61005.915865938	64.446012980	0.977189265
61005.957532604	64.488147629	0.977181105
61005.999199271	64.530283144	0.977172952
61006.040865938	64.572419526	0.977164804
61006.082532604	64.614556773	0.977156663
61006.124199271	64.656694885	0.977148528
61006.165865938	64.698833862	0.977140399
61006.207532604	64.740973703	0.977132277
61006.249199271	64.783114408	0.977124161
61006.290865938	64.825255976	0.977116051
61006.332532604	64.867398407	0.977107947
61006.374199271	64.909541699	0.977099850
61006.415865938	64.951685854	0.977091759
61006.457532604	64.993830870	0.977083674
61006.499199271	65.035976746	0.977075596
61006.540865938	65.078123483	0.977067524
61006.582532604	65.120271080	0.977059458
61006.624199271	65.162419535	0.977051398
61006.665865938	65.204568850	0.977043345
61006.707532604	65.246719022	0.977035298
61006.749199271	65.288870053	0.977027257
61006.790865938	65.331021940	0.977019223
61006.832532604	65.373174684	0.977011195
61006.874199271	65.415328285	0.977003174
61006.915865938	65.457482741	0.976995159
61006.957532604	65.499638052	0.976987150
61006.999199271	65.541794218	0.976979148
61007.040865938	65.583951238	0.976971151
61007.082532604	65.626109112	0.976963162
61007.124199271	65.668267839	0.976955178
61007.165865938	65.710427418	0.976947202
61007.207532604	65.752587850	0.976939231
61007.249199271	65.794749133	0.976931267
61007.290865938	65.836911267	0.976923309
61007.332532604	65.879074252	0.976915358
61007.374199271	65.921238087	0.976907413
61007.415865937	65.963402772	0.976899475
61007.457532604	66.005568305	0.976891543
61007.499199270	66.047734687	0.976883617
61007.540865937	66.089901917	0.976875698
61007.582532603	66.132069994	0.976867785
61007.624199270	66.174238919	0.976859879
61007.665865937	66.216408690	0.976851979
61007.707532603	66.258579306	0.976844086
61007.749199270	66.300750768	0.976836199
61007.790865937	66.342923075	0.976828319
61007.832532603	66.385096226	0.976820445
61007.874199270	66.427270221	0.976812578
61007.915865937	66.469445059	0.976804717
61007.957532603	66.511620740	0.976796863
61007.999199270	66.553797263	0.976789015
61008.040865937	66.595974627	0.976781174
61008.082532603	66.638152833	0.976773339
61008.124199270	66.680331879	0.976765511
61008.165865937	66.722511766	0.976757689
61008.207532603	66.764692492	0.976749874
61008.249199270	66.806874056	0.976742065
61008.290865937	66.849056460	0.976734263
61008.332532603	66.891239701	0.976726468
61008.374199270	66.933423779	0.976718679
61008.415865937	66.975608694	0.976710896
61008.457532603	67.017794446	0.976703120
61008.499199270	67.059981033	0.976695351
61008.540865937	67.102168455	0.976687589
61008.582532603	67.144356712	0.976679833
61008.624199270	67.186545803	0.976672083
61008.665865937	67.228735727	0.976664340
61008.707532603	67.270926485	0.976656604
61008.749199270	67.313118074	0.976648875
61008.790865937	67.355310496	0.976641152
61008.832532603	67.397503749	0.976633435
61008.874199270	67.439697832	0.976625726
61008.915865937	67.481892746	0.976618023
61008.957532603	67.524088490	0.976610326
61008.999199270	67.566285062	0.976602637
61009.040865937	67.608482463	0.976594953
61009.082532603	67.650680692	0.976587277
61009.124199270	67.692879748	0.976579607
61009.165865937	67.735079632	0.976571944
61009.207532603	67.777280341	0.976564288
61009.249199270	67.819481876	0.976556638
61009.290865937	67.861684236	0.976548996
61009.332532603	67.903887421	0.976541359
61009.374199270	67.946091429	0.976533730
61009.415865937	67.988296261	0.976526107
61009.457532603	68.030501916	0.976518491
61009.499199270	68.072708393	0.976510882
61009.540865937	68.114915692	0.976503279
61009.582532603	68.157123812	0.976495683
