r_lo_arcmin	r_hi_arcmin	r_arcmin	soft_count	hard_count	exposure_s_arcmin2	net_ct_s_arcmin2	error_ct_s_arcmin2	comet_model_ct_s_arcmin2	sky_ct_s_arcmin2
5.5	5.75	5.625925925925926	2127	836	171228.03371200833	0.01000010236865232	0.00028239352513937673	0.010328794617669595	1.1546994380315043e-08
5.75	6.0	5.875886524822694	2189	890	175920.12395232244	0.009899244776464665	0.00027927195969699726	0.00988179069676478	1.1546994380315043e-08
6.0	6.25	6.125850340136053	2056	910	179550.81664684863	0.008957950575891998	0.0002662736749519072	0.009472110131535792	1.1546994380315043e-08
6.25	6.5	6.375816993464052	2060	901	183706.483308445	0.008782187669105882	0.00026034856893030763	0.009094415013578291	1.1546994380315043e-08
6.5	6.75	6.625786163522012	2069	954	185975.16373266894	0.008567782127913256	0.0002584277017547272	0.008745673034531222	1.1546994380315043e-08
6.75	7.0	6.875757575757575	2089	1073	189656.95403580889	0.008199828684305238	0.00025614137560921386	0.008422534555078763	1.1546994380315043e-08
7.0	7.25	7.125730994152046	2053	1091	191738.43498665947	0.007879636650679872	0.0002516665663607775	0.008122225061762498	1.1546994380315043e-08
7.25	7.5	7.375706214689265	2044	1044	194663.83834836003	0.007809529786615466	0.00024677129964368157	0.007842458934698142	1.1546994380315043e-08
7.5	7.75	7.625683060109289	2065	1082	196488.2409872785	0.007723354475802229	0.0002460953587756975	0.007581355787864954	1.1546994380315043e-08
7.75	8.0	7.875661375661375	2027	1170	200065.42507430774	0.007211066282224375	0.0002408781392294113	0.007336387566781258	1.1546994380315043e-08
8.0	8.25	8.125641025641025	2069	1205	200130.81796519237	0.007285711111354582	0.0002434206886877052	0.0071064837841687874	1.1546994380315043e-08
8.25	8.5	8.375621890547263	2030	1176	201700.17878311916	0.007102792328073937	0.00023915798451086626	0.006891127000055018	1.1546994380315043e-08
8.5	8.75	8.625603864734298	2033	1315	202576.88810484775	0.006761768533726507	0.00024006428452169837	0.006688230059164459	1.1546994380315043e-08
8.75	9.0	8.875586854460094	2055	1359	204548.440299582	0.006677109762565315	0.0002394088363930686	0.00649659066633334	1.1546994380315043e-08
9.0	9.25	9.125570776255707	1978	1336	204937.12505235305	0.006367177768874575	0.0002347929872453247	0.006315665700613741	1.1546994380315043e-08
9.25	9.5	9.375555555555556	1959	1392	206479.31472976352	0.0061068486245293655	0.0002327945765324893	0.006144619108833584	1.1546994380315043e-08
9.5	9.75	9.625541125541124	1952	1376	206372.7130311611	0.006088988486139441	0.00023235770618317851	0.0059823160325763345	1.1546994380315043e-08
9.75	10.0	9.875527426160337	1985	1463	206850.39710911017	0.0060079696646719374	0.00023457552966750012	0.005828204555217864	1.1546994380315043e-08
10.0	10.25	10.12551440329218	1997	1528	205622.90919496055	0.005928451093833133	0.0002373954065157152	0.0056818550316102235	1.1546994380315043e-08
10.25	10.5	10.375502008032129	1926	1529	205330.78845892826	0.005622122126902874	0.00023417729497330174	0.005542662671611705	1.1546994380315043e-08
10.5	10.75	10.625490196078431	1837	1537	202846.98347351342	0.005276379892691814	0.00023254314086781328	0.0054102105886264145	1.1546994380315043e-08
10.75	11.0	10.875478927203064	1848	1513	201439.59161989056	0.00537976015262886	0.00023442765933904058	0.005284019044440076	1.1546994380315043e-08
