r_lo_arcmin	r_hi_arcmin	r_arcmin	events_count	qpb_count	sp_count	oot_count	exposure_s_arcmin2	coverage	net_ct_s_arcmin2	error_ct_s_arcmin2	comet_model_ct_s_arcmin2	sky_ct_s_arcmin2
8.0	8.25	8.125641025641025	1495.0	98.76494686864316	87.80134166777134	1264.0	1108286.5328298395	1.0	0.0011087400911802374	3.705542653801239e-05	0.0010117933301720032	0.0001331588036007339
8.25	8.5	8.375621890547263	1511.0	103.52631284855306	91.18906793743372	1396.0	1133016.7562152515	1.0	0.0010841292615275788	3.651078516219032e-05	0.0009803221039083772	0.0001331588036007339
8.5	8.75	8.625603864734298	1473.0	105.7168206833303	92.75299698766321	1373.0	1129536.7032291433	1.0	0.0010517862579698721	3.625398312171451e-05	0.0009506127739398065	0.0001331588036007339
8.75	9.0	8.875586854460094	1501.0	104.96047507598996	91.35731991287321	1268.0	1094036.417638868	1.0	0.0011195223351471945	3.771314152498077e-05	0.000923234968132874	0.0001331588036007339
9.0	9.25	9.125570776255707	1467.0	112.53337813541293	98.2312288209796	1412.0	1155078.430763862	1.0	0.0010105628864281334	3.5520426118608544e-05	0.0008972953273652848	0.0001331588036007339
9.25	9.5	9.375555555555556	1474.0	114.93041346222162	99.31125163659453	1426.0	1145561.2010242823	1.0	0.0010212639306002346	3.592739881724109e-05	0.0008723421819779258	0.0001331588036007339
9.5	9.75	9.625541125541124	1439.0	117.56876144558191	101.72181407827884	1405.0	1149258.5349999762	1.0	0.000984281943554296	3.5492906835249116e-05	0.0008488344669621049	0.0001331588036007339
9.75	10.0	9.875527426160337	1419.0	119.39280128665268	102.77262143604457	1366.0	1138918.0096006715	1.0	0.0009752910814596428	3.5628692981651316e-05	0.0008266441996986264	0.0001331588036007339
10.0	10.25	10.12551440329218	1487.0	122.9685459844768	105.55778072495013	1359.0	1144348.3359895602	1.0	0.0010249122897324446	3.6251177973596326e-05	0.0008055994066204831	0.0001331588036007339
10.25	10.5	10.375502008032129	1441.0	125.6698284111917	108.08617361169308	1388.0	1143839.6071353946	1.0	0.0009789834090301493	3.5836348936329416e-05	0.000785439618434935	0.0001331588036007339
10.5	10.75	10.625490196078431	1353.0	127.25037772580981	109.4170480556786	1388.0	1131536.757439215	1.0	0.0009092842697810305	3.529682902250265e-05	0.0007662545257907688	0.0001331588036007339
10.75	11.0	10.875478927203064	1297.0	127.29249473288655	109.72255836427212	1362.0	1110545.5338975445	1.0	0.0008772075679633646	3.532989198015246e-05	0.0007481462654127418	0.0001331588036007339
11.0	11.25	11.125468164794007	1346.0	132.0865282304585	113.64473376329988	1348.0	1124044.6022221986	1.0	0.000903295773138307	3.555330606490941e-05	0.0007308256546427894	0.0001331588036007339
11.25	11.5	11.375457875457874	1339.0	133.0850399453193	115.18851948529482	1375.0	1108141.347387128	1.0	0.0009061131442635395	3.601438872179872e-05	0.0007141730533646774	0.0001331588036007339
11.5	11.75	11.625448028673834	1250.0	137.38078817818314	117.96491434704512	1377.0	1110605.544756923	1.0	0.0008174849313159907	3.4998161747447344e-05	0.0006981904151959421	0.0001331588036007339
11.75	12.0	11.875438596491227	1224.0	134.51294767390937	114.68742324365303	1278.0	1055259.861041647	1.0	0.0008474553634587108	3.6434923912286985e-05	0.0006830032957961765	0.0001331588036007339
