mjd	ra_deg	dec_deg	r_au	delta_au
61012.64002315	178.0518816	1.3289026	1.865032	1.884030
61012.64071759	178.0512214	1.3291479	1.865049	1.884023
61012.64141204	178.0505613	1.3293931	1.865067	1.884016
61012.64210648	178.0499012	1.3296383	1.865084	1.884009
61012.64280093	178.0492410	1.3298835	1.865101	1.884002
61012.64349537	178.0485808	1.3301287	1.865118	1.883995
61012.64418982	178.0479205	1.3303739	1.865135	1.883988
61012.64488426	178.0472603	1.3306190	1.865153	1.883981
61012.64557870	178.0466000	1.3308642	1.865170	1.883974
61012.64627315	178.0459397	1.3311093	1.865187	1.883967
61012.64696759	178.0452794	1.3313544	1.865204	1.883961
61012.64766204	178.0446190	1.3315994	1.865222	1.883954
61012.64835648	178.0439586	1.3318445	1.865239	1.883947
61012.64905093	178.0432982	1.3320895	1.865256	1.883940
61012.64974537	178.0426378	1.3323345	1.865273	1.883933
61012.65043982	178.0419773	1.3325795	1.865290	1.883926
61012.65113426	178.0413168	1.3328245	1.865308	1.883919
61012.65182870	178.0406563	1.3330694	1.865325	1.883912
61012.65252315	178.0399958	1.3333143	1.865342	1.883905
61012.65321759	178.0393352	1.3335592	1.865359	1.883898
61012.65391204	178.0386747	1.3338041	1.865377	1.883891
61012.65460648	178.0380140	1.3340490	1.865394	1.883884
61012.65530093	178.0373534	1.3342938	1.865411	1.883877
61012.65599537	178.0366927	1.3345386	1.865428	1.883870
61012.65668982	178.0360321	1.3347835	1.865445	1.883863
61012.65738426	178.0353714	1.3350282	1.865463	1.883856
61012.65807870	178.0347106	1.3352730	1.865480	1.883849
61012.65877315	178.0340499	1.3355177	1.865497	1.883842
61012.65946759	178.0333891	1.3357625	1.865514	1.883835
61012.66016204	178.0327283	1.3360072	1.865532	1.883828
61012.66085648	178.0320674	1.3362518	1.865549	1.883821
61012.66155093	178.0314066	1.3364965	1.865566	1.883814
61012.66224537	178.0307457	1.3367411	1.865583	1.883807
61012.66293981	178.0300848	1.3369858	1.865600	1.883800
61012.66363426	178.0294238	1.3372304	1.865618	1.883793
61012.66432870	178.0287629	1.3374750	1.865635	1.883786
61012.66502315	178.0281019	1.3377195	1.865652	1.883779
61012.66571759	178.0274409	1.3379641	1.865669	1.883772
61012.66641204	178.0267799	1.3382086	1.865687	1.883765
61012.66710648	178.0261188	1.3384531	1.865704	1.883758
61012.66780093	178.0254577	1.3386975	1.865721	1.883751
61012.66849537	178.0247966	1.3389420	1.865738	1.883744
61012.66918981	178.0241355	1.3391864	1.865755	1.883737
61012.66988426	178.0234744	1.3394309	1.865773	1.883731
61012.67057870	178.0228132	1.3396753	1.865790	1.883724
61012.67127315	178.0221520	1.3399196	1.865807	1.883717
61012.67196759	178.0214908	1.3401640	1.865824	1.883710
61012.67266204	178.0208295	1.3404083	1.865842	1.883703
61012.67335648	178.0201682	1.3406526	1.865859	1.883696
61012.67405093	178.0195069	1.3408969	1.865876	1.883689
61012.67474537	178.0188456	1.3411412	1.865893	1.883682
61012.67543982	178.0181843	1.3413855	1.865911	1.883675
61012.67613426	178.0175229	1.3416297	1.865928	1.883668
61012.67682870	178.0168615	1.3418739	1.865945	1.883661
61012.67752315	178.0162001	1.3421181	1.865962	1.883654
61012.67821759	178.0155386	1.3423623	1.865979	1.883647
61012.67891204	178.0148772	1.3426064	1.865997	1.883640
