distance_arcmin	distance_km	surface_brightness	error	coverage	smooth	reflected_smooth
-6.875	-563203.4375	0.0013579802647656067	0.0002473256350119925	1.0	0.0012600114064280359	0.0015092725699201155
-6.625	-542723.3125	0.001007201904016132	0.00022075870900318693	1.0	0.0012513110210256272	0.00139882539018372
-6.375	-522243.1875	0.0013766741311741838	0.00024360452610291464	1.0	0.001387967627474177	0.001562451352094671
-6.125	-501763.0625	0.0016164376650113785	0.00026073503701338384	1.0	0.0015078068726417416	0.0014906458544206318
-5.875	-481282.9375	0.001075225713252509	0.000219085177354662	1.0	0.0012438434861356488	0.0017204843242996312
-5.625	-460802.8125	0.0009250112479847449	0.00020550851143780476	1.0	0.0011441993251522593	0.0021913233478686026
-5.375	-440322.6875	0.0014198070620015013	0.00023826195900735134	1.0	0.0014001866782533457	0.0020688935734421454
-5.125	-419842.5625	0.0016940008215603536	0.0002547735218580603	1.0	0.0017247712104175785	0.0024279909390474185
-4.875	-399362.4375	0.0016324936541797553	0.00024768136743911573	1.0	0.0017108366789935687	0.002257151702307167
-4.625	-378882.3125	0.0017516187236879081	0.0002504528199631686	1.0	0.0018646713482204063	0.0022568524096621746
-4.375	-358402.1875	0.001993633036031577	0.00026501453210037916	1.0	0.0018513427583800356	0.002524024344499664
-4.125	-337922.0625	0.0016862040011856709	0.00024459126837339496	1.0	0.0018609403609923217	0.0026006405401183684
-3.875	-317441.9375	0.0025299562785481935	0.000292631814027465	1.0	0.0024748335459934046	0.002645420528440207
-3.625	-296961.8125	0.0024849662032616036	0.0002800983240910643	1.0	0.0024989971847274215	0.0026544117171016894
-3.375	-276481.6875	0.0022069898737391677	0.0002748015919490513	1.0	0.002466301589743862	0.0028286445285593464
-3.125	-256001.5625	0.0033098631851981347	0.0003120672672808782	1.0	0.002910612454731077	0.0034714092130847096
-2.875	-235521.4375	0.0026042637649356434	0.00028566158803968296	1.0	0.002853487538758882	0.0037740042215079882
-2.625	-215041.3125	0.003125599919667314	0.00030321762240908943	1.0	0.0031697496171486394	0.003688915515033545
-2.375	-194561.1875	0.003480817069075681	0.0003140707767516124	1.0	0.003150902777804227	0.004243683686194845
-2.125	-174081.0625	0.0035039775778402753	0.00031478184103949383	1.0	0.0036497018827468643	0.004906932612616921
-1.875	-153600.9375	0.004028806545153617	0.0003325570209126171	1.0	0.0041537405825419395	0.004962055061190864
-1.625	-133120.8125	0.00517444174822297	0.0003756818820846344	1.0	0.005100744134192584	0.005711251821474708
-1.375	-112640.6875	0.005474671744148413	0.000372311893802736	1.0	0.005475929269465464	0.007123035898597142
-1.125	-92160.5625	0.00640095203231783	0.00040708373391600754	1.0	0.006317615696405502	0.008735615201458023
-0.875	-71680.4375	0.008203931645990946	0.00044765851078784586	1.0	0.008321543318459874	0.009923968776393517
-0.625	-51200.3125	0.010662860704805216	0.0005264000150291231	1.0	0.010971785037618744	0.01264347971730989
-0.375	-30720.1875	0.014828294649779531	0.0005987605514719187	1.0	0.015063020019880148	0.016500536093217447
-0.125	-10240.0625	0.01894651313263791	0.0006767896449908003	1.0	0.019186417211059223	0.020782583555517528
0.125	10240.0625	0.020140970668165965	0.0006907793098547586	1.0	0.020782583555517528	0.019186417211059223
0.375	30720.1875	0.01583505759786332	0.0006117498475926362	1.0	0.016500536093217447	0.015063020019880148
0.625	51200.3125	0.01266799675521554	0.0005697142856260695	1.0	0.01264347971730989	0.010971785037618744
0.875	71680.4375	0.009804071727478315	0.0004911110936575795	1.0	0.009923968776393517	0.008321543318459874
1.125	92160.5625	0.008830068377344983	0.0004808530112684556	1.0	0.008735615201458023	0.006317615696405502
1.375	112640.6875	0.007068432019966079	0.0004302843434689245	1.0	0.007123035898597142	0.005475929269465464
1.625	133120.8125	0.005662702769842868	0.00039532121083562757	1.0	0.005711251821474708	0.005100744134192584
1.875	153600.9375	0.004667140818629956	0.00036410042338415983	1.0	0.004962055061190864	0.0041537405825419395
2.125	174081.0625	0.004991970895156718	0.00037465474193293564	1.0	0.004906932612616921	0.0036497018827468643
2.375	194561.1875	0.004178466264000908	0.00035018965987556136	1.0	0.004243683686194845	0.003150902777804227
2.625	215041.3125	0.0033739685897406176	0.00031838572731771676	1.0	0.003688915515033545	0.0031697496171486394
2.875	235521.4375	0.0038603303718239917	0.0003476628413622947	1.0	0.0037740042215079882	0.002853487538758882
3.125	256001.5625	0.0035169809393291633	0.00033626816817974777	0.9827586206896551	0.0034714092130847096	0.002910612454731077
3.375	276481.6875	0.0027470482820059383	0.00030747265962961253	1.0	0.0028286445285593464	0.002466301589743862
3.625	296961.8125	0.0027140106230540547	0.0003070387619468231	0.9655172413793104	0.0026544117171016894	0.0024989971847274215
3.875	317441.9375	0.002739419564348674	0.00032619376571275515	0.9454545454545454	0.002645420528440207	0.0024748335459934046
4.125	337922.0625	0.0025240041320146924	0.0003167390277157839	0.9298245614035088	0.0026006405401183684	0.0018609403609923217
4.375	358402.1875	0.002391769399821148	0.0003124216417188725	0.9285714285714286	0.002524024344499664	0.0018513427583800356
4.625	378882.3125	0.002246335632186905	0.00029989758073733363	0.9285714285714286	0.0022568524096621746	0.0018646713482204063
4.875	399362.4375	0.0021268536854618003	0.00029177058311320725	0.9122807017543859	0.002257151702307167	0.0017108366789935687
5.125	419842.5625	0.0027100082714427514	0.00033093044944651896	0.9107142857142857	0.0024279909390474185	0.0017247712104175785
5.375	440322.6875	0.002032209377698199	0.00030073433956546026	0.8771929824561403	0.0020688935734421454	0.0014001866782533457
5.625	460802.8125	0.0025487613959048346	0.00033680597188790514	0.8909090909090909	0.0021913233478686026	0.0011441993251522593
