mjd_utc	stereo_a	solar_orbiter	ace	wind	ace_scaled
61010.243055556	35976451	49314695	87075558	1.1127607e+08	1.4802845e+08
61010.250000000	35620405	48979320	87265734	1.1184381e+08	1.4835175e+08
61010.256944444	35264359	48669934	87541985	1.1241155e+08	1.4882137e+08
61010.263888889	34908313	48386535	87904310	1.1297929e+08	1.4943733e+08
61010.270833333	34552267	48129125	88352710	1.1354702e+08	1.5019961e+08
61010.277777778	34196221	47897703	88627344	1.1408472e+08	1.5066648e+08
61010.284722222	33840176	47681018	88248437	1.1449004e+08	1.5002234e+08
61010.291666667	33484130	47466076	86996056	1.1469069e+08	1.478933e+08
61010.298611111	33224731	47251134	84870202	1.1468667e+08	1.4427934e+08
61010.305555556	33167006	47036191	81870873	1.1447798e+08	1.3918048e+08
61010.312500000	33319334	46821249	78704861	1.12755e+08	1.3379826e+08
61010.319444444	33681715	46606307	76164567	1.0994006e+08	1.2947976e+08
61010.326388889	34254148	46391365	74335600	1.0818547e+08	1.2637052e+08
61010.333333333	35036633	46176422	73059306	1.0721491e+08	1.2420082e+08
61010.340277778	36029171	45961480	72041281	1.0633163e+08	1.2247018e+08
61010.347222222	37173731	45746538	71124694	1.0553565e+08	1.2091198e+08
61010.354166667	38405181	45531595	70288463	1.0482696e+08	1.1949039e+08
61010.361111111	39716417	45316653	69792428	1.0423561e+08	1.1864713e+08
61010.368055556	40367512	45101711	70116362	1.0382346e+08	1.1919782e+08
61010.375000000	40393709	44886769	71154635	1.0353566e+08	1.2096288e+08
61010.381944444	40473528	44671826	72558592	1.032855e+08	1.2334961e+08
61010.388888889	40501945	44456884	74458338	1.0307298e+08	1.2657917e+08
61010.395833333	40470579	44241942	76360142	1.0420369e+08	1.2981224e+08
61010.402777778	40379431	44027000	77510168	1.0619114e+08	1.3176728e+08
61010.409722222	40233536	43812134	77801499	1.068229e+08	1.3226255e+08
61010.416666667	40096174	43605621	77392790	1.0643244e+08	1.3156774e+08
61010.423611111	40025592	43415659	76578445	1.0579037e+08	1.3018336e+08
61010.430555556	40079819	43242247	75515295	1.0491342e+08	1.28376e+08
61010.437500000	40323988	43085386	74224422	1.0380157e+08	1.2618152e+08
61010.444444444	39890110	42945076	72705827	1.0245483e+08	1.2359991e+08
61010.451388889	39605858	42821317	70959510	1.0091366e+08	1.2063117e+08
61010.458333333	40398829	42714108	69524177	99305218	1.181911e+08
61010.465277778	41493855	42623450	69159763	97746783	1.175716e+08
61010.472222222	42890935	42549342	69538848	96275986	1.1821604e+08
61010.479166667	44590070	42491786	70012660	94903911	1.1902152e+08
61010.486111111	46423407	42450780	70481078	93694716	1.1981783e+08
61010.493055556	48180614	42426248	70944099	92708525	1.2060497e+08
61010.500000000	49760962	42409914	71401725	91888185	1.2138293e+08
61010.506944444	51106207	42393580	71853956	91159824	1.2215173e+08
61010.513888889	52216347	42377247	72300791	90496591	1.2291134e+08
61010.520833333	53091383	42360913	72742231	89876573	1.2366179e+08
61010.527777778	54606407	42344579	73178275	89287992	1.2440307e+08
61010.534722222	56673673	42328245	73608923	88730847	1.2513517e+08
61010.541666667	58330342	42311912	73821036	88205139	1.2549576e+08
61010.548611111	59576414	42295578	73403330	87695940	1.2478566e+08
61010.555555556	60411889	42279244	72365771	87235703	1.2302181e+08
61010.562500000	60836766	42262911	71161313	86871808	1.2097423e+08
61010.569444444	61018897	42246577	70034808	86604255	1.1905917e+08
61010.576388889	60876172	42230243	68986254	86433045	1.1727663e+08
61010.583333333	60022309	42213910	68015653	86329832	1.1562661e+08
61010.590277778	58600058	42197576	67123004	86248861	1.1410911e+08
61010.597222222	57004064	42181242	66308307	86182855	1.1272412e+08
61010.604166667	55349909	42164908	65571562	86153727	1.1147166e+08
61010.611111111	53637591	42148575	64912770	86173255	1.1035171e+08
61010.618055556	51867112	42132241	64331929	86241440	1.0936428e+08
61010.625000000	50038472	42115907	63829041	86358282	1.0850937e+08
61010.631944444	48151669	42099574	63404105	86508129	1.0778698e+08
61010.638888889	46206705	42083240	63244474	86620899	1.0751561e+08
61010.645833333	44203579	42066906	63311172	86642160	1.0762899e+08
61010.652777778	42142291	42050573	63377870	86550438	1.0774238e+08
61010.659722222	40310251	42042279	63444567	86261049	1.0785576e+08
61010.666666667	39131186	42056842	63511265	85739128	1.0796915e+08
61010.673611111	38462348	42101035	63495441	85030428	1.0794225e+08
61010.680555556	37909091	42174860	63278020	84152361	1.0757263e+08
61010.687500000	37355834	42278315	62822447	83104924	1.0679816e+08
61010.694444444	36842265	42411401	62148716	81942970	1.0565282e+08
61010.701388889	36413379	42574118	61287956	80794892	1.0418953e+08
61010.708333333	36074479	42766465	60366525	79734232	1.0262309e+08
61010.715277778	35825567	42988444	59505065	78760990	1.0115861e+08
61010.722222222	35666642	43240053	58709001	77875166	99805302
61010.729166667	35597704	43521293	57978333	77076761	98563166
61010.736111111	35618753	43832164	57283716	76387247	97382317
61010.743055556	35729789	44164626	56582853	75834107	96190850
61010.750000000	35930813	44503862	55862793	75396127	94966748
61010.756944444	36221823	44843098	55206057	75097029	93850297
61010.763888889	36602821	45182335	54731721	74987757	93043927
61010.770833333	37073806	45521571	54476340	75068313	92609778
61010.777777778	37595090	45860808	54419919	75283844	92513862
61010.784722222	38121679	46200044	54531329	75505958	92703260
61010.791666667	38648268	46539280	54684214	75661111	92963164
61010.798611111	39174857	46878517	54757930	75749305	93088481
61010.805555556	39701446	47217753	54747052	75770539	93069989
61010.812500000	40228035	47556990	54651582	75724813	92907689
61010.819444444	40754623	47896226	54500863	75612127	92651466
61010.826388889	41281212	48235462	54337191	75489683	92373226
61010.833333333	41826044	48574699	54173520	75441906	92094985
61010.840277778	42478667	48912874	54009849	75450553	91816744
61010.847222222	43310386	49242661	53846178	75472319	91538503
61010.854166667	44314542	49557790	53682507	75509365	91260262
61010.861111111	45482631	49858263	53520599	75561691	90985018
61010.868055556	46812809	50144079	53370709	75629297	90730205
61010.875000000	48301145	50415239	53241331	75712183	90510263
61010.881944444	49922182	50671742	53132466	75810350	90325193
61010.888888889	51654395	50913588	53044114	75923796	90174994
61010.895833333	53497784	51140778	52976274	76052523	90059666
61010.902777778	55452348	51353311	52928946	76196530	89979209
61010.909722222	57474792	51551187	52902131	76355818	89933623
61010.916666667	59484634	51734407	52895829	76530385	89922909
61010.923611111	61373378	51904031	52910039	76714755	89947065
61010.930555556	63069721	52067388	52944761	76901286	90006093
61010.937500000	64580322	52230745	52999996	77087817	90099992
61010.944444444	65913684	52394101	53073980	77274348	90225766
61010.951388889	67071652	52557458	53156459	77460618	90365980
61010.958333333	68058156	52720814	53238937	77644394	90506193
61010.965277778	68898653	52884171	53318875	77823702	90642088
61010.972222222	69614669	53047528	53388822	77998542	90760998
61010.979166667	70173825	53210884	53443869	78168914	90854578
61010.986111111	70530368	53374241	53484016	78334819	90922827
61010.993055556	70714220	53537598	53509263	78496256	90965747
61011.000000000	70787622	53700954	53519609	78657309	90983336
61011.006944444	70769518	53864311	53515056	78859741	90975595
61011.013888889	70659909	54027668	53563373	79141228	91057734
61011.020833333	70458795	54191024	54205525	79501770	92149392
61011.027777778	70166175	54354381	55498788	79941368	94347940
61011.034722222	69791195	54517738	56971414	80469908	96851403
61011.041666667	69362272	54681094	58536880	81100628	99512696
61011.048611111	68898683	54844680	60167040	81852340	1.0228397e+08
61011.055555556	68400426	55008732	61869343	82819032	1.0517788e+08
61011.062500000	67899880	55173255	63648699	84121734	1.0820279e+08
61011.069444444	67442799	55338250	64786818	85417858	1.1013759e+08
61011.076388889	67042556	55503717	65054932	85844243	1.1059338e+08
61011.083333333	66699151	55669655	65233263	85622268	1.1089655e+08
61011.090277778	66412583	55836065	65612510	85413701	1.1154127e+08
61011.097222222	66182854	56002947	66124902	85180866	1.1241233e+08
61011.104166667	66009962	56170301	66229475	84923764	1.1259011e+08
61011.111111111	65893908	56338126	65868954	84642393	1.1197722e+08
61011.118055556	65825547	56506423	65515086	84327129	1.1137565e+08
61011.125000000	65776461	56675192	65254393	83966967	1.1093247e+08
61011.131944444	65727375	56844203	65057341	83545068	1.1059748e+08
